Month,Amount
"2013-06	",169793
"2013-07	",441810
"2013-08	",485869
"2013-09	",425141
"2013-10	",404400
"2013-11	",571652
"2013-12	",423582
"2014-01	",433500
"2014-02	",418841
"2014-03	",608241
"2014-04	",437631
"2014-05	",639167
"2014-06	",435448
"2014-07	",435309
"2014-08	",484522
"2014-09	",522088
"2014-10	",646651
"2014-11	",577462
"2014-12	",542681
"2015-01	",461635
"2015-02	",564499
"2015-03	",548700
"2015-04	",479041
"2015-05	",643111
"2015-06	",508678
"2015-07	",465823
"2015-08	",796803
"2015-09	",474482
"2015-10	",657274
"2015-11	",433832
"2015-12	",593322
"2016-01	",331144
"2016-02	",485348
"2016-03	",492463
"2016-04	",699196
"2016-05	",474009
"2016-06	",602109
"2016-07	",492413
"2016-08	",602608
"2016-09	",1020007
"2016-10	",596383
"2016-11	",542975
"2016-12	",561847
"2017-01	",706833
"2017-02	",625652
"2017-03	",1090346
"2017-04	",716406
"2017-05	",756113
"2017-06	",774973
"2017-07	",743275
"2017-08	",859461
"2017-09	",1108749
"2017-10	",851257
"2017-11	",850184
"2017-12	",923364
"2018-01	",1037482
"2018-02	",1176895
"2018-03	",1263641
"2018-04	",843437
"2018-05	",871038
"2018-06	",916521
"2018-07	",942850
"2018-08	",1273437
"2018-09	",940349
"2018-10	",896430
"2018-11	",890124
"2018-12	",889856
"2019-01	",993191
"2019-02	",904049
"2019-03	",1252855
"2019-04	",926433
"2019-05	",908124
"2019-06	",903748
"2019-07	",906106
"2019-08	",1279899
"2019-09	",936185
"2019-10	",952025
"2019-11	",942734
"2019-12	",962405
"2020-01	",1282769
